snapshot_date,store_id,product_id,quantity_on_hand,reorder_point
2026-07-15,ST-003,PR-00054,340,42
2026-07-15,ST-003,PR-00055,38,44
2026-07-15,ST-003,PR-00056,63,60
2026-07-15,ST-003,PR-00057,123,56
2026-07-15,ST-003,PR-00058,466,24
2026-07-15,ST-003,PR-00059,156,38
2026-07-15,ST-003,PR-00060,228,47
2026-07-15,ST-003,PR-00061,39,29
2026-07-15,ST-003,PR-00062,281,78
2026-07-15,ST-003,PR-00063,481,81
2026-07-15,ST-003,PR-00064,47,95
2026-07-15,ST-003,PR-00065,403,95
2026-07-15,ST-003,PR-00066,44,54
2026-07-15,ST-003,PR-00067,177,36
2026-07-15,ST-003,PR-00068,280,21
2026-07-15,ST-003,PR-00069,202,56
2026-07-15,ST-003,PR-00070,376,39
2026-07-15,ST-003,PR-00071,450,96
2026-07-15,ST-003,PR-00072,13,23
2026-07-15,ST-003,PR-00073,387,90
2026-07-15,ST-003,PR-00074,50,65
2026-07-15,ST-003,PR-00075,100,42
2026-07-15,ST-003,PR-00076,488,58
2026-07-15,ST-003,PR-00077,83,66
2026-07-15,ST-003,PR-00078,29,78
2026-07-15,ST-003,PR-00079,115,65
2026-07-15,ST-003,PR-00080,286,42
2026-07-15,ST-003,PR-00081,293,31
2026-07-15,ST-003,PR-00082,49,85
2026-07-15,ST-003,PR-00083,111,83
2026-07-15,ST-003,PR-00084,3,56
2026-07-15,ST-003,PR-00085,482,27
2026-07-15,ST-003,PR-00086,130,75
2026-07-15,ST-003,PR-00087,142,55
2026-07-15,ST-003,PR-00088,490,87
2026-07-15,ST-003,PR-00089,281,63
2026-07-15,ST-003,PR-00090,112,47
2026-07-15,ST-003,PR-00091,339,35
2026-07-15,ST-003,PR-00092,457,74
2026-07-15,ST-003,PR-00093,290,56
2026-07-15,ST-003,PR-00094,306,44
2026-07-15,ST-003,PR-00095,335,87
2026-07-15,ST-003,PR-00096,195,62
2026-07-15,ST-003,PR-00097,172,33
2026-07-15,ST-003,PR-00098,108,38
2026-07-15,ST-003,PR-00099,454,25
2026-07-15,ST-003,PR-00100,378,32
2026-07-15,ST-003,PR-00101,472,47
2026-07-15,ST-003,PR-00102,3,93
2026-07-15,ST-003,PR-00103,342,37
2026-07-15,ST-003,PR-00104,17,81
2026-07-15,ST-003,PR-00105,269,90
2026-07-15,ST-003,PR-00106,50,57
2026-07-15,ST-003,PR-00107,398,70
2026-07-15,ST-003,PR-00108,314,48
2026-07-15,ST-003,PR-00109,145,27
2026-07-15,ST-003,PR-00110,100,23
2026-07-15,ST-003,PR-00111,221,54
2026-07-15,ST-003,PR-00112,210,63
2026-07-15,ST-003,PR-00113,154,55
2026-07-15,ST-003,PR-00114,151,40
2026-07-15,ST-003,PR-00115,327,51
2026-07-15,ST-003,PR-00116,436,61
2026-07-15,ST-003,PR-00117,95,20
2026-07-15,ST-003,PR-00118,424,93
2026-07-15,ST-003,PR-00119,128,94
2026-07-15,ST-003,PR-00120,125,43
2026-07-15,ST-003,PR-00121,421,32
2026-07-15,ST-003,PR-00122,415,22
2026-07-15,ST-003,PR-00123,53,59
2026-07-15,ST-003,PR-00124,306,46
2026-07-15,ST-003,PR-00125,423,44
2026-07-15,ST-003,PR-00126,167,34
2026-07-15,ST-003,PR-00127,36,90
2026-07-15,ST-003,PR-00128,232,87
2026-07-15,ST-003,PR-00129,339,48
2026-07-15,ST-003,PR-00130,72,46
2026-07-15,ST-003,PR-00131,29,76
2026-07-15,ST-003,PR-00132,161,75
2026-07-15,ST-003,PR-00133,142,21
2026-07-15,ST-003,PR-00134,463,22
2026-07-15,ST-003,PR-00135,408,96
2026-07-15,ST-003,PR-00136,182,33
2026-07-15,ST-003,PR-00137,23,77
2026-07-15,ST-003,PR-00138,177,50
2026-07-15,ST-003,PR-00139,53,66
2026-07-15,ST-003,PR-00140,87,95
2026-07-15,ST-003,PR-00141,182,70
2026-07-15,ST-003,PR-00142,45,89
2026-07-15,ST-003,PR-00143,310,24
2026-07-15,ST-003,PR-00144,72,51
2026-07-15,ST-003,PR-00145,137,73
2026-07-15,ST-003,PR-00146,66,33
2026-07-15,ST-003,PR-00147,416,69
2026-07-15,ST-003,PR-00148,484,95
2026-07-15,ST-003,PR-00149,114,24
2026-07-15,ST-003,PR-00150,120,70
2026-07-15,ST-003,PR-00151,473,77
2026-07-15,ST-003,PR-00152,370,69
2026-07-15,ST-003,PR-00153,384,31
2026-07-15,ST-003,PR-00154,320,31
2026-07-15,ST-003,PR-00155,175,51
2026-07-15,ST-003,PR-00156,261,72
2026-07-15,ST-003,PR-00157,171,70
2026-07-15,ST-003,PR-00158,11,85
2026-07-15,ST-003,PR-00159,451,30
2026-07-15,ST-003,PR-00160,489,70
2026-07-15,ST-003,PR-00161,101,54
2026-07-15,ST-003,PR-00162,257,76
2026-07-15,ST-003,PR-00163,182,95
2026-07-15,ST-003,PR-00164,262,60
2026-07-15,ST-003,PR-00165,47,89
2026-07-15,ST-003,PR-00166,356,58
2026-07-15,ST-003,PR-00167,156,84
2026-07-15,ST-003,PR-00168,308,75
2026-07-15,ST-003,PR-00169,39,50
2026-07-15,ST-003,PR-00170,398,77
2026-07-15,ST-003,PR-00171,160,48
2026-07-15,ST-003,PR-00172,81,58
2026-07-15,ST-003,PR-00173,246,42
2026-07-15,ST-003,PR-00174,344,35
2026-07-15,ST-003,PR-00175,379,71
2026-07-15,ST-003,PR-00176,163,52
2026-07-15,ST-003,PR-00177,109,49
2026-07-15,ST-003,PR-00178,181,40
2026-07-15,ST-003,PR-00179,390,52
2026-07-15,ST-003,PR-00180,160,81
2026-07-15,ST-003,PR-00181,19,76
2026-07-15,ST-003,PR-00182,168,29
2026-07-15,ST-003,PR-00183,260,25
2026-07-15,ST-003,PR-00184,301,68
2026-07-15,ST-003,PR-00185,133,32
2026-07-15,ST-003,PR-00186,135,24
2026-07-15,ST-003,PR-00187,94,52
2026-07-15,ST-003,PR-00188,373,44
2026-07-15,ST-003,PR-00189,81,78
2026-07-15,ST-003,PR-00190,56,64
2026-07-15,ST-003,PR-00191,209,20
2026-07-15,ST-003,PR-00192,400,35
2026-07-15,ST-003,PR-00193,295,35
2026-07-15,ST-003,PR-00194,428,30
2026-07-15,ST-003,PR-00195,110,91
2026-07-15,ST-003,PR-00196,121,84
2026-07-15,ST-003,PR-00197,215,20
2026-07-15,ST-003,PR-00198,120,21
2026-07-15,ST-003,PR-00199,39,47
2026-07-15,ST-003,PR-00200,497,46
2026-07-15,ST-004,PR-00001,214,66
2026-07-15,ST-004,PR-00002,448,48
2026-07-15,ST-004,PR-00003,188,78
2026-07-15,ST-004,PR-00004,408,54
2026-07-15,ST-004,PR-00005,95,71
2026-07-15,ST-004,PR-00006,165,27
2026-07-15,ST-004,PR-00007,310,51
2026-07-15,ST-004,PR-00008,132,64
2026-07-15,ST-004,PR-00009,355,88
2026-07-15,ST-004,PR-00010,450,53
2026-07-15,ST-004,PR-00011,471,47
2026-07-15,ST-004,PR-00012,52,98
2026-07-15,ST-004,PR-00013,430,67
2026-07-15,ST-004,PR-00014,73,94
2026-07-15,ST-004,PR-00015,275,100
2026-07-15,ST-004,PR-00016,191,50
2026-07-15,ST-004,PR-00017,107,42
2026-07-15,ST-004,PR-00018,116,53
2026-07-15,ST-004,PR-00019,431,50
2026-07-15,ST-004,PR-00020,232,64
2026-07-15,ST-004,PR-00021,474,66
2026-07-15,ST-004,PR-00022,184,87
2026-07-15,ST-004,PR-00023,417,64
2026-07-15,ST-004,PR-00024,59,62
2026-07-15,ST-004,PR-00025,207,89
2026-07-15,ST-004,PR-00026,156,84
2026-07-15,ST-004,PR-00027,58,79
2026-07-15,ST-004,PR-00028,216,98
2026-07-15,ST-004,PR-00029,495,49
2026-07-15,ST-004,PR-00030,15,48
2026-07-15,ST-004,PR-00031,16,54
2026-07-15,ST-004,PR-00032,23,100
2026-07-15,ST-004,PR-00033,363,46
